,Ingredient1,Ingredient2,f_x,f_y,f_xy,pmi
9347,깨소금,후추,1252,212,1,-2.0972310059601207
8841,고추장,표고버섯,741,664,2,-2.0212827738406394
662,간장,통후추,2175,113,1,-2.0203189418631893
14364,고춧가루,토마토케첩,1253,196,1,-2.01955779375465
23844,굴,후춧가루,111,2109,1,-1.971646561419173
12734,간장,우유,2175,99,1,-1.8880509732854387
3260,갓,참기름,113,1888,1,-1.8788083450458506
17572,간장,배추,2175,95,1,-1.8468080147513894
160,다진마늘,통후추,1803,113,1,-1.8327422215437221
23267,대파,토마토케첩,1037,196,1,-1.8303490470881087
23173,간장,햄,2175,92,1,-1.814719700199889
26734,다진마늘,정종,1803,103,1,-1.7400833910610172
16674,게맛살,후춧가루,86,2109,1,-1.7164636563603466
29962,다진마늘,파프리카,1803,100,1,-1.710524588819473
31429,무,오이,413,436,1,-1.7092370159381314
7791,계란노른자,참기름,91,1888,1,-1.6622800328503602
17909,고춧가루,피망,1253,274,2,-1.6614240603522574
26496,고등어,참기름,88,1888,1,-1.6287573408117169
27067,버터,홍고추,149,1096,1,-1.6115159530814842
6933,돼지고기,쇠고기,264,615,1,-1.6057185505808984
16572,밀가루,청주,347,465,1,-1.5995093651622798
27089,간장,버터,2175,73,1,-1.5833905642992399
5076,국수,후춧가루,75,2109,1,-1.5796044736431492
23682,마늘,호박,738,211,1,-1.5639491377046033
16787,김,양파,136,1144,1,-1.5630882373038595
7980,깨소금,토마토,1252,122,1,-1.5446657760213647
10012,깨소금,통깨,1252,243,2,-1.5405589940687112
6271,감자,청주,326,465,1,-1.537081966582128
27710,모시조개,참기름,79,1888,1,-1.5208683788005317
26236,낙지,후춧가루,139,2109,2,-1.5034431126775853
20975,감자,오이,326,436,1,-1.4726868043438062
27507,대추,홍고추,129,1096,1,-1.4673820514976972
8590,고춧가루,양송이버섯,1253,110,1,-1.4419235003165487
20204,깨소금,양송이버섯,1252,110,1,-1.4411250970805243
6418,계란,애호박,947,145,1,-1.4381800152347168
24381,꿀,홍고추,125,1096,1,-1.435883384438326
7901,대추,후춧가루,129,2109,2,-1.4287815839085656
28423,다진파,올리브유,880,153,1,-1.4185070084927518
23784,설탕,홍합,1010,133,1,-1.416201917685123
18170,무순,후춧가루,63,2109,1,-1.4052510864983714
29850,국간장,식초,255,520,1,-1.4032395363619634
20102,고춧가루,청피망,1253,105,1,-1.3954034846816559
14339,가지,후춧가루,124,2109,2,-1.3892507451519305
20107,고춧가루,홍피망,1253,103,1,-1.3761721227537684
26493,깨소금,정종,1252,103,1,-1.3753737195177438
28166,고사리,양파,109,1144,1,-1.3417812337969512
11084,다진마늘,치커리,1803,69,1,-1.3394609074286408
23335,돼지고기,실파,264,465,1,-1.3261336883617367
4454,느타리버섯,홍고추,223,1096,2,-1.3215942380361985
9211,대추,참기름,129,1888,2,-1.318085750135237
30131,계란,파,947,127,1,-1.3056333592727338
4624,고사리,홍고추,109,1096,1,-1.2989175293651687
5645,국간장,청주,255,465,1,-1.2914481303738465
27626,마른고추,후춧가루,56,2109,1,-1.287468050841988
23730,다진파,홍합,880,133,1,-1.2784182153220702
30770,물,토마토,954,122,1,-1.2728318958096072
30279,무,육수,413,281,1,-1.2699494419228428
2150,고추,후춧가루,55,2109,1,-1.2694495453393098
5050,느타리버섯,식초,223,520,1,-1.269147762663656
20167,깻잎,실파,249,465,1,-1.2676374816801281
2835,깻잎,청주,249,465,1,-1.2676374816801281
3351,고추장,청주,741,465,3,-1.2595729218433978
12955,고추장,올리브유,741,153,1,-1.2465857263165867
22145,무,피망,413,274,1,-1.2447228789771672
1231,대파,오이,1037,436,4,-1.2435822700867352
24893,다진생강,식용유,179,627,1,-1.23647952610174
5624,다진파,파,880,127,1,-1.2322561735589077
30427,계란,된장,947,116,1,-1.2150364639205071
24276,대파,청피망,1037,105,1,-1.206194738015115
7975,다진파,토마토,880,122,1,-1.1920901318335728
655,계란,통후추,947,113,1,-1.188834091526483
27052,버터,청고추,149,717,1,-1.1871693261731435
24280,대파,홍피망,1037,103,1,-1.1869633760872274
231,밥,홍고추,292,1096,3,-1.1857111607361972
20327,다진마늘,완두콩,1803,59,1,-1.182891846737101
17578,녹말가루,청고추,296,717,2,-1.1804352939917997
13431,상추,홍고추,96,1096,1,-1.1719178386038611
3288,굴,참기름,111,1888,2,-1.1678035470858992
3821,물엿,표고버섯,157,664,1,-1.1626751344528061
779,겨자,홍고추,95,1096,1,-1.161446538736566
26126,고추장,육수,741,281,2,-1.1613552936979517
12607,고구마,후춧가루,49,2109,1,-1.1539366582174655
1636,꼬치,후춧가루,49,2109,1,-1.1539366582174655
29353,다시물,후춧가루,49,2109,1,-1.1539366582174655
10542,가래떡,소금,105,1942,2,-1.1404339980769125
2258,계란,진간장,947,320,3,-1.1311549799398048
19311,굴소스,쇠고기,164,615,1,-1.1296358752587805
167,다진파,통후추,880,113,1,-1.115456905812657
24225,마요네즈,참기름,104,1888,2,-1.1026642449149375
5410,김,청고추,136,717,1,-1.0958779059637367
8829,고추장,밀가루,741,263,2,-1.0951546565419703
23605,국간장,양파,255,1144,3,-1.093084608058124
9700,느타리버섯,오이,223,436,1,-1.0929611944372173
1728,물엿,쇠고기,157,615,1,-1.0860152527828901
3980,대파,실파,1037,465,5,-1.0848338810108475
9028,꼬치,소금,49,1942,1,-1.071441126589961
28750,물,우유,954,99,1,-1.0639307012109407
644,국수,설탕,75,1247,1,-1.054131238844411
773,다진생강,식초,179,520,1,-1.0493617970442923
9629,고등어,후춧가루,88,2109,2,-1.0463059940250998
5159,배추,양파,81,1144,1,-1.0448825062402463
27500,대추,청고추,129,717,1,-1.0430354245893567
4870,쇠고기,청고추,386,717,3,-1.0404481010244058
24363,꿀,청고추,125,717,1,-1.0115367575299858
25925,다진쇠고기,양파,78,1144,1,-1.0071421782573993
232,당근,홍고추,893,1096,11,-1.0042609552141535
28897,고추기름,후춧가루,42,2109,1,-0.9997859783902071
29357,가쓰오브시,후춧가루,42,2109,1,-0.9997859783902071
2318,미나리,식용유,282,627,2,-0.9978536106391531
16816,다시마,진간장,276,320,1,-0.9968690411389864
1664,꿀,후춧가루,125,2109,3,-0.9918178087410302
14536,무,호박,413,211,1,-0.9834529060651634
15077,물,피망,954,274,3,-0.9833266687963114
1114,밀가루,콩나물,347,250,1,-0.9789328774371698
3125,당근,잣,893,97,1,-0.9774447390079462
14683,돼지고기,팽이버섯,264,327,1,-0.9740564536716337
14275,가지,물,124,695,1,-0.9723405907978933
25920,다진쇠고기,홍고추,78,1096,1,-0.9642784738256167
7431,고등어,소금,88,1942,2,-0.9638104623975956
16293,굴소스,식초,164,520,1,-0.9618424190277357
11289,김,식용유,136,627,1,-0.9617486059970369
26415,고운고춧가루,참기름,45,1888,1,-0.95808301610383
22248,당근,배추,893,95,1,-0.9566106521051041
19377,바지락,설탕,68,1247,1,-0.9561508304842073
24365,닭,청고추,118,717,1,-0.9539076446933493
21709,김,쇠고기,136,615,1,-0.942424333170634
11000,돼지고기,무,264,316,1,-0.9398384963612925
12175,두부,생강즙,371,224,1,-0.9359952940905393
24358,레몬,참기름,44,1888,1,-0.9356101602517715
13984,느타리버섯,생강,223,369,1,-0.9261155951287101
647,국수,홍고추,75,1096,1,-0.9250577606723355
29564,올리브유,홍고추,75,1096,1,-0.9250577606723355
23654,쇠고기,호박,386,211,1,-0.9158426825689616
2051,감자,설탕,326,1247,5,-0.9141025942407079
22095,계란흰자,참기름,43,1888,1,-0.9126206420270727
10178,녹말가루,홍고추,296,1096,4,-0.9116347403401948
8543,베이컨,설탕,65,1247,1,-0.9110303952037377
16499,두부,오이,371,436,2,-0.9088443050245884
16260,마늘,오이,738,436,4,-0.9034388864576804
30568,당근,쌀,893,90,1,-0.9025434308348284
1192,국간장,식용유,255,627,2,-0.8972100848594657
21471,가쓰오브시,참기름,42,1888,1,-0.8890901446168785
26485,굵은고춧가루,참기름,42,1888,1,-0.8890901446168785
32258,두부,후추,371,212,1,-0.8809355169075117
527,당근,멸치,893,88,1,-0.8800705749827697
9748,꿀,식용유,125,627,1,-0.877407457563286
25450,닭,표고버섯,118,664,1,-0.8771139535701629
4616,고사리,청고추,109,717,1,-0.8745709024568283
4156,다진생강,오이,179,436,1,-0.8731752288178535
7457,가지,식용유,124,627,1,-0.8693752858660218
7520,다시마,육수,276,281,1,-0.86690271467896
24300,마늘,청피망,738,105,1,-0.8660513543860601
6001,물,통깨,954,243,3,-0.8632600057487895
28413,설탕,올리브유,1010,153,2,-0.8631435302958596
16899,굴,물,111,695,1,-0.8615892265051905
7835,바질,후춧가루,73,2109,2,-0.8594286206952846
175,당면,홍고추,70,1096,1,-0.856064889185384
9981,깻잎,오징어,249,307,1,-0.852447823679969
19434,가지,쇠고기,124,615,1,-0.850051013039619
12546,말린표고버섯,후춧가루,36,2109,1,-0.8456352985629488
553,감자,실파,326,465,2,-0.8439347860221829
20985,밀가루,오이,347,436,2,-0.8419670223640124
4491,다진생강,후춧가루,179,2109,5,-0.8400642535134935
18272,국멸치,설탕,60,1247,1,-0.8309876875302014
377,설탕,찹쌀,1010,74,1,-0.8299178826675391
25774,배,청고추,104,717,1,-0.8276139193690573
24036,돼지고기,육수,264,281,1,-0.8224509521081261
16067,녹말가루,콩나물,296,250,1,-0.8199675518143711
19918,도라지,후춧가루,70,2109,2,-0.8174644215962524
1292,방울토마토,후춧가루,35,2109,1,-0.8174644215962524
30706,마늘,파프리카,738,100,1,-0.8172611902166281
27529,대추,양파,129,1144,2,-0.8170985753695342
14027,김치,진간장,230,320,1,-0.8145474843450319
23109,마늘,우유,738,99,1,-0.8072108543631266
16254,맛술,실파,157,465,1,-0.8064303905637286
30172,김치,무,230,316,1,-0.8019687021381717
12693,닭,쇠고기,118,615,1,-0.8004540719002469
12482,물,양상추,954,76,1,-0.7995441913626818
10634,닭고기,홍고추,66,1096,1,-0.7972243891624505
18174,무순,양파,63,1144,1,-0.7935680779593401
13722,배춧잎,후춧가루,34,2109,1,-0.7884768847230003
11287,김,후춧가루,136,2109,4,-0.7884768847230003
29669,대하,후춧가루,34,2109,1,-0.7884768847230003
3481,배추김치,후춧가루,34,2109,1,-0.7884768847230003
9338,설탕,후추,1010,212,3,-0.7838267754672721
8549,베이컨,홍고추,65,1096,1,-0.7819569170316621
6804,설탕,호박,1010,211,3,-0.7790986342713262
649,국수,참기름,75,1888,2,-0.7757614593098754
29569,올리브유,참기름,75,1888,2,-0.7757614593098754
30399,생강,콩나물,283,250,1,-0.7750549951335483
964,김치,쇠고기,230,615,2,-0.7747015757978322
24474,김치,오징어,230,307,1,-0.7730742361384568
2827,깻잎,육수,249,281,1,-0.7639547454265175
30075,다시다,참기름,37,1888,1,-0.7623384389777347
10040,샐러리,표고버섯,105,664,1,-0.7603896792620215
8371,머스터드,후춧가루,66,2109,2,-0.758623921573319
8144,녹말가루,미나리,296,235,1,-0.7580921480962836
