,Unnamed: 0,Similar_Recipe_ID,TF-IDF Value,Recipe_ID
0,0,사색나물,0.34513512,나물비빔밥
1,1,상추겉절이비빔밥,0.31684777,나물비빔밥
2,2,콩나물미나리무침,0.2927642,나물비빔밥
3,3,돌솥비빔밥,0.28446198,나물비빔밥
4,4,숙주미나리무침,0.28113788,나물비빔밥
5,5,콩나물잡채,0.24380259,나물비빔밥
6,6,묵과양념장,0.22742234,나물비빔밥
7,7,닭개장,0.22035053,나물비빔밥
8,8,초교탕,0.21499875,나물비빔밥
9,9,오징어도라지생채,0.21172003,나물비빔밥
10,10,오곡주먹밥,0.5432728,오곡밥
11,11,팥시루떡,0.53856456,오곡밥
12,12,인절미,0.49756753,오곡밥
13,13,찰밥주먹밥,0.3727797,오곡밥
14,14,찰밥,0.3464791,오곡밥
15,15,콩자반,0.33621162,오곡밥
16,16,시금치배미음죽,0.3299402,오곡밥
17,17,시금치표고된장무른밥,0.2989048,오곡밥
18,18,호박죽,0.29854515,오곡밥
19,19,동지팥죽,0.29110348,오곡밥
21,21,제육배추찜,0.39316636,잡채밥
22,22,중국식볶음밥,0.38880104,잡채밥
23,23,부추표고버섯볶음,0.3774631,잡채밥
24,24,부추잡채,0.369669,잡채밥
25,25,부추전,0.3563172,잡채밥
26,26,물만두,0.3422177,잡채밥
27,27,오이소박이,0.31717536,잡채밥
28,28,버섯잡채밥,0.3031639,잡채밥
29,29,제육겨자쌈,0.29023507,잡채밥
30,30,콩나물밥,0.28489417,잡채밥
31,31,두부국,0.4897635,콩나물밥
32,32,깻잎장아찌,0.42762533,콩나물밥
33,33,쌈장,0.39757273,콩나물밥
34,34,콩나물잡채,0.38465762,콩나물밥
35,35,닭고기콩나물덮밥,0.37704128,콩나물밥
36,36,아귀찜,0.36694667,콩나물밥
37,37,콩나물무밥,0.3646566,콩나물밥
38,38,콩나물미나리무침,0.35599694,콩나물밥
39,39,도가니탕,0.3494939,콩나물밥
40,40,새우죽,0.34795335,콩나물밥
41,41,양파쌈파이,0.2852368,약식
42,42,영양돌솥밥,0.26905674,약식
43,43,잣죽,0.2557278,약식
44,44,찰밥,0.24909338,약식
45,45,삼계탕,0.20922498,약식
46,46,오이동치미,0.19453788,약식
47,47,송편,0.18024822,약식
48,48,화전,0.17744862,약식
49,49,찰밥주먹밥,0.17406942,약식
50,50,인절미,0.16700993,약식
51,51,팥시루떡,0.50686365,호박죽
52,52,찰밥,0.47934765,호박죽
53,53,동지팥죽,0.4218089,호박죽
54,54,찰밥주먹밥,0.33497384,호박죽
55,55,오곡밥,0.29854515,호박죽
56,56,팥국수,0.2944533,호박죽
57,57,팥칼국수,0.28627676,호박죽
58,58,인절미,0.27622935,호박죽
59,59,오곡주먹밥,0.27183923,호박죽
60,60,단팥죽,0.26142448,호박죽
61,61,새우죽,0.43574846,흑임자죽
62,62,녹두죽,0.3577582,흑임자죽
63,63,모듬쌈밥,0.3199088,흑임자죽
64,64,전복죽,0.25850713,흑임자죽
65,65,동지팥죽,0.24432406,흑임자죽
66,66,콩나물밥,0.23011127,흑임자죽
67,67,채소영양밥,0.20433097,흑임자죽
68,68,콩나물무밥,0.19665186,흑임자죽
69,69,오색주먹밥도시락,0.1916872,흑임자죽
70,70,영양채소밥,0.18602069,흑임자죽
71,71,카레토마토달걀볶음밥,0.33434853,카레라이스
72,72,모듬채소볶음,0.2971852,카레라이스
73,73,고추장닭강정,0.275199,카레라이스
74,74,잡채밥,0.25548622,카레라이스
75,75,김치볶음밥,0.2354078,카레라이스
76,76,오징어탕수,0.23465164,카레라이스
77,77,콩나물밥,0.23223336,카레라이스
78,78,제육겨자쌈,0.22712499,카레라이스
79,79,닭고기카레튀김,0.22489826,카레라이스
80,80,오믈렛,0.21313417,카레라이스
81,81,두부오믈렛,0.41571528,오므라이스
82,82,버섯잡채,0.36009824,오므라이스
83,83,채소치즈죽,0.35739282,오므라이스
84,84,탕수육,0.30825385,오므라이스
85,85,골뱅이볶음,0.30103356,오므라이스
86,86,해물잡채,0.2827004,오므라이스
87,87,김치수제비,0.28227243,오므라이스
88,88,계란말이,0.2781812,오므라이스
89,89,애호박무침,0.2668254,오므라이스
90,90,가지무침과 호박잎쌈밥,0.26575324,오므라이스
91,91,된장채소수제비,0.3664626,감자수제비
92,92,참치죽,0.36403322,감자수제비
93,93,김치수제비,0.3581161,감자수제비
94,94,무맑은국,0.34512678,감자수제비
95,95,생굴채소무침,0.31444517,감자수제비
96,96,된장찌개,0.30773145,감자수제비
97,97,채소국수,0.3027678,감자수제비
98,98,가지된장찜,0.2963708,감자수제비
99,99,꽃게찌개,0.2900083,감자수제비
100,100,쇠고기무국,0.2896259,감자수제비
101,101,동치미막국수,0.5443955,냉면
102,102,비빔냉면,0.25358796,냉면
103,103,열무김치냉면,0.2422568,냉면
104,104,콩나물국밥,0.23708546,냉면
105,105,무초김치,0.23532304,냉면
106,106,잡채,0.18972337,냉면
