,Similar_Recipe_ID,TF-IDF Value,Recipe_ID
0,사색나물,0.34513512,나물비빔밥
1,상추겉절이비빔밥,0.31684777,나물비빔밥
2,콩나물미나리무침,0.2927642,나물비빔밥
3,돌솥비빔밥,0.28446198,나물비빔밥
4,숙주미나리무침,0.28113788,나물비빔밥
5,콩나물잡채,0.24380259,나물비빔밥
6,묵과양념장,0.22742234,나물비빔밥
7,닭개장,0.22035053,나물비빔밥
8,초교탕,0.21499875,나물비빔밥
9,오징어도라지생채,0.21172003,나물비빔밥
10,오곡주먹밥,0.5432728,오곡밥
11,팥시루떡,0.53856456,오곡밥
12,인절미,0.49756753,오곡밥
13,찰밥주먹밥,0.3727797,오곡밥
14,찰밥,0.3464791,오곡밥
15,콩자반,0.33621162,오곡밥
16,시금치배미음죽,0.3299402,오곡밥
17,시금치표고된장무른밥,0.2989048,오곡밥
18,호박죽,0.29854515,오곡밥
19,동지팥죽,0.29110348,오곡밥
20,잡채밥,0.99999994,잡채밥
21,제육배추찜,0.39316636,잡채밥
22,중국식볶음밥,0.38880104,잡채밥
23,부추표고버섯볶음,0.3774631,잡채밥
24,부추잡채,0.369669,잡채밥
25,부추전,0.3563172,잡채밥
26,물만두,0.3422177,잡채밥
27,오이소박이,0.31717536,잡채밥
28,버섯잡채밥,0.3031639,잡채밥
29,제육겨자쌈,0.29023507,잡채밥
30,콩나물밥,0.28489417,잡채밥
31,두부국,0.4897635,콩나물밥
32,깻잎장아찌,0.42762533,콩나물밥
33,쌈장,0.39757273,콩나물밥
34,콩나물잡채,0.38465762,콩나물밥
35,닭고기콩나물덮밥,0.37704128,콩나물밥
36,아귀찜,0.36694667,콩나물밥
37,콩나물무밥,0.3646566,콩나물밥
38,콩나물미나리무침,0.35599694,콩나물밥
39,도가니탕,0.3494939,콩나물밥
40,새우죽,0.34795335,콩나물밥
41,양파쌈파이,0.2852368,약식
42,영양돌솥밥,0.26905674,약식
43,잣죽,0.2557278,약식
44,찰밥,0.24909338,약식
45,삼계탕,0.20922498,약식
46,오이동치미,0.19453788,약식
47,송편,0.18024822,약식
48,화전,0.17744862,약식
49,찰밥주먹밥,0.17406942,약식
50,인절미,0.16700993,약식
51,팥시루떡,0.50686365,호박죽
52,찰밥,0.47934765,호박죽
53,동지팥죽,0.4218089,호박죽
54,찰밥주먹밥,0.33497384,호박죽
55,오곡밥,0.29854515,호박죽
56,팥국수,0.2944533,호박죽
57,팥칼국수,0.28627676,호박죽
58,인절미,0.27622935,호박죽
59,오곡주먹밥,0.27183923,호박죽
60,단팥죽,0.26142448,호박죽
61,새우죽,0.43574846,흑임자죽
62,녹두죽,0.3577582,흑임자죽
63,모듬쌈밥,0.3199088,흑임자죽
64,전복죽,0.25850713,흑임자죽
65,동지팥죽,0.24432406,흑임자죽
66,콩나물밥,0.23011127,흑임자죽
67,채소영양밥,0.20433097,흑임자죽
68,콩나물무밥,0.19665186,흑임자죽
69,오색주먹밥도시락,0.1916872,흑임자죽
70,영양채소밥,0.18602069,흑임자죽
71,카레토마토달걀볶음밥,0.33434853,카레라이스
72,모듬채소볶음,0.2971852,카레라이스
73,고추장닭강정,0.275199,카레라이스
74,잡채밥,0.25548622,카레라이스
75,김치볶음밥,0.2354078,카레라이스
76,오징어탕수,0.23465164,카레라이스
77,콩나물밥,0.23223336,카레라이스
78,제육겨자쌈,0.22712499,카레라이스
79,닭고기카레튀김,0.22489826,카레라이스
80,오믈렛,0.21313417,카레라이스
81,두부오믈렛,0.41571528,오므라이스
82,버섯잡채,0.36009824,오므라이스
83,채소치즈죽,0.35739282,오므라이스
84,탕수육,0.30825385,오므라이스
85,골뱅이볶음,0.30103356,오므라이스
86,해물잡채,0.2827004,오므라이스
87,김치수제비,0.28227243,오므라이스
88,계란말이,0.2781812,오므라이스
89,애호박무침,0.2668254,오므라이스
90,가지무침과 호박잎쌈밥,0.26575324,오므라이스
91,된장채소수제비,0.3664626,감자수제비
92,참치죽,0.36403322,감자수제비
93,김치수제비,0.3581161,감자수제비
94,무맑은국,0.34512678,감자수제비
95,생굴채소무침,0.31444517,감자수제비
96,된장찌개,0.30773145,감자수제비
97,채소국수,0.3027678,감자수제비
98,가지된장찜,0.2963708,감자수제비
99,꽃게찌개,0.2900083,감자수제비
100,쇠고기무국,0.2896259,감자수제비
101,동치미막국수,0.5443955,냉면
102,비빔냉면,0.25358796,냉면
103,열무김치냉면,0.2422568,냉면
104,콩나물국밥,0.23708546,냉면
105,무초김치,0.23532304,냉면
106,잡채,0.18972337,냉면
107,육회,0.17870666,냉면
108,새우겨자채,0.16474302,냉면
109,갈비찜,0.16473213,냉면
110,오이냉국,0.14191078,냉면
111,냉면,0.5443955,동치미막국수
112,채소국수,0.24926408,동치미막국수
113,콩나물밥,0.2486082,동치미막국수
114,국수전골,0.24102855,동치미막국수
115,곰탕,0.23330185,동치미막국수
116,쇠고기장조림,0.19835028,동치미막국수
117,국수계란말이,0.1969751,동치미막국수
118,떡국,0.18698521,동치미막국수
119,잡채밥,0.18575875,동치미막국수
120,카레라이스,0.18280171,동치미막국수
121,불고기찹쌀구이,0.3837531,열무김치냉면
122,열무김치,0.33938053,열무김치냉면
123,총각김치,0.28851297,열무김치냉면
124,비빔냉면,0.28058785,열무김치냉면
125,부추부침개,0.2682447,열무김치냉면
126,오징어젓갈,0.25480646,열무김치냉면
127,화전,0.24569725,열무김치냉면
128,냉면,0.2422568,열무김치냉면
129,고추부각,0.24106888,열무김치냉면
130,얼갈이열무물김치,0.23344454,열무김치냉면
131,모듬전,0.40699205,채소국수
132,감자수제비,0.3027678,채소국수
133,부추전,0.28148815,채소국수
134,생굴채소무침,0.2740258,채소국수
135,국수전골,0.25914645,채소국수
136,부추표고버섯볶음,0.2556613,채소국수
137,동치미막국수,0.24926408,채소국수
138,곰탕,0.24044187,채소국수
139,채소비빔소면,0.23966098,채소국수
140,오이소박이,0.23949112,채소국수
141,탕수육,0.46155068,해물국수
142,콩나물버섯덮밥,0.29115722,해물국수
143,죽순표고버섯볶음나물,0.27489766,해물국수
144,류산슬,0.27439076,해물국수
145,누룽지탕,0.26966253,해물국수
146,홍합탕,0.24479239,해물국수
147,부추표고버섯볶음,0.23463415,해물국수
148,해물찌개,0.22938378,해물국수
149,새우만두,0.22529927,해물국수
150,라조육,0.22463956,해물국수
151,버섯만두전골,0.70951104,만둣국
152,숙주미나리무침,0.36683163,만둣국
153,버섯두부찌개,0.34924945,만둣국
154,양파쌈파이,0.3472882,만둣국
155,떡만두국,0.3394605,만둣국
156,떡갈비구이,0.32448217,만둣국
157,쇠고기덮밥,0.29402906,만둣국
158,모듬전,0.28730202,만둣국
159,낙지전골,0.28338584,만둣국
160,닭고기콩나물덮밥,0.27389684,만둣국
161,계란말이,0.57292265,다시마냉국
162,오이지장아찌무침,0.5333405,다시마냉국
163,오이냉국,0.4929931,다시마냉국
164,우묵냉채,0.4793555,다시마냉국
165,김치수제비,0.41491783,다시마냉국
166,오이나물,0.40446046,다시마냉국
167,무생채,0.36453345,다시마냉국
168,오이소박이,0.36176273,다시마냉국
169,미역냉국,0.34861708,다시마냉국
170,오징어볶음과소면,0.31508604,다시마냉국
171,쌈장,0.5201249,두부국
172,콩나물밥,0.4897635,두부국
173,도가니탕,0.46015212,두부국
174,호박두부찌개,0.45080394,두부국
175,깻잎장아찌,0.43334648,두부국
176,고등어김치조림,0.40936834,두부국
177,오이냉국,0.39037526,두부국
178,고춧기름,0.35924563,두부국
179,쇠고기무국,0.35320604,두부국
180,쇠고기장조림,0.3461627,두부국
181,북어해장국밥,0.50329965,두부조개탕
182,양파전,0.31529891,두부조개탕
183,북어국,0.30861467,두부조개탕
184,오징어섞어찌개,0.28199682,두부조개탕
185,양배춧국,0.28182557,두부조개탕
186,낙지전골,0.2808336,두부조개탕
187,낙지연포탕,0.273209,두부조개탕
188,두부알찜,0.2675734,두부조개탕
189,부추전,0.25629666,두부조개탕
190,닭고기콩나물덮밥,0.24310715,두부조개탕
191,무맑은국,1.0000001,무맑은국
192,쇠고기무국,0.839187,무맑은국
193,갈비탕,0.6288627,무맑은국
194,두부탕,0.5690243,무맑은국
195,쇠고기전골,0.507408,무맑은국
196,토란곰탕,0.44274142,무맑은국
197,곰탕,0.42459014,무맑은국
198,미역국,0.40109733,무맑은국
199,꼬리곰탕,0.3761693,무맑은국
200,사골탕,0.34690127,무맑은국
201,감자수제비,0.34512678,무맑은국
