,Unnamed: 0,Ingredient,Similar Ingredient,Word2Vec Value
60,60,소금,참기름,0.9924026131629944
120,120,참기름,소금,0.9924025535583496
61,61,소금,다진마늘,0.992348849773407
10,10,다진마늘,소금,0.992348849773407
62,62,소금,후춧가루,0.9915012717247008
460,460,후춧가루,소금,0.9915012121200562
40,40,설탕,소금,0.9913829565048218
63,63,소금,설탕,0.9913828372955322
64,64,소금,홍고추,0.9896429777145386
230,230,홍고추,소금,0.9896429777145386
220,220,청고추,소금,0.9890413284301758
560,560,대파,소금,0.9888424873352052
121,121,참기름,다진마늘,0.988837957382202
11,11,다진마늘,참기름,0.988837957382202
290,290,고춧가루,소금,0.9886122941970824
41,41,설탕,다진마늘,0.9883877038955688
12,12,다진마늘,설탕,0.9883875846862792
122,122,참기름,후춧가루,0.987710416316986
461,461,후춧가루,참기름,0.987710416316986
13,13,다진마늘,후춧가루,0.9875980019569396
462,462,후춧가루,다진마늘,0.9875979423522948
42,42,설탕,홍고추,0.9874320030212402
231,231,홍고추,설탕,0.9874319434165956
232,232,홍고추,다진마늘,0.9870870113372804
14,14,다진마늘,홍고추,0.9870870113372804
43,43,설탕,후춧가루,0.9870539903640748
463,463,후춧가루,설탕,0.9870538711547852
80,80,다진파,소금,0.9870052337646484
44,44,설탕,참기름,0.986745297908783
123,123,참기름,설탕,0.9867451190948486
221,221,청고추,다진마늘,0.9865548610687256
730,730,무,소금,0.9864774346351624
233,233,홍고추,후춧가루,0.9860368967056274
464,464,후춧가루,홍고추,0.9860368967056274
124,124,참기름,홍고추,0.9857525825500488
234,234,홍고추,참기름,0.9857525825500488
222,222,청고추,참기름,0.9857492446899414
90,90,미나리,소금,0.985719621181488
430,430,양파,소금,0.9856606125831604
370,370,식용유,소금,0.9856483340263368
340,340,물,소금,0.9855344295501708
223,223,청고추,설탕,0.9853904247283936
50,50,고추장,소금,0.9853469133377076
224,224,청고추,후춧가루,0.9850785732269288
291,291,고춧가루,다진마늘,0.98503440618515
650,650,새우,소금,0.9849782586097716
240,240,표고버섯,소금,0.9848886728286744
561,561,대파,다진마늘,0.984851598739624
341,341,물,다진마늘,0.9847634434700012
292,292,고춧가루,참기름,0.984709858894348
562,562,대파,후춧가루,0.984601616859436
390,390,간장,소금,0.9844776391983032
280,280,당근,소금,0.9844623804092408
731,731,무,다진마늘,0.9842028617858888
563,563,대파,참기름,0.9841266870498656
51,51,고추장,다진마늘,0.9838090538978576
81,81,다진파,참기름,0.9837822914123536
530,530,식초,소금,0.9836007356643676
82,82,다진파,다진마늘,0.9835137128829956
293,293,고춧가루,설탕,0.9834892749786376
294,294,고춧가루,홍고추,0.983223557472229
564,564,대파,설탕,0.9831796288490297
52,52,고추장,후춧가루,0.9829965829849244
53,53,고추장,설탕,0.9827624559402466
371,371,식용유,다진마늘,0.9827146530151368
342,342,물,참기름,0.9826582074165344
732,732,무,참기름,0.9823803305625916
372,372,식용유,설탕,0.9823796153068542
